timestamp,meter_id,resource,consumption
2026-09-07T00:00,MTR-001,electricity,0.43
2026-09-07T00:00,MTR-002,water,6.79
2026-09-07T01:00,MTR-001,electricity,0.43
2026-09-07T01:00,MTR-002,water,7.84
2026-09-07T02:00,MTR-001,electricity,0.43
2026-09-07T02:00,MTR-002,water,5.2
2026-09-07T03:00,MTR-001,electricity,0.5
2026-09-07T03:00,MTR-002,water,6.68
2026-09-07T04:00,MTR-001,electricity,0.42
2026-09-07T04:00,MTR-002,water,7.14
2026-09-07T05:00,MTR-001,electricity,0.48
2026-09-07T05:00,MTR-002,water,8.4
2026-09-07T06:00,MTR-001,electricity,0.55
2026-09-07T06:00,MTR-002,water,15.13
2026-09-07T07:00,MTR-001,electricity,1.14
2026-09-07T07:00,MTR-002,water,13.78
2026-09-07T08:00,MTR-001,electricity,1.29
2026-09-07T08:00,MTR-002,water,16.57
2026-09-07T09:00,MTR-001,electricity,1.26
2026-09-07T09:00,MTR-002,water,14.87
2026-09-07T10:00,MTR-001,electricity,0.53
2026-09-07T10:00,MTR-002,water,5.26
2026-09-07T11:00,MTR-001,electricity,0.4
2026-09-07T11:00,MTR-002,water,7.59
2026-09-07T12:00,MTR-001,electricity,0.83
2026-09-07T12:00,MTR-002,water,6.71
2026-09-07T13:00,MTR-001,electricity,0.76
2026-09-07T13:00,MTR-002,water,7.3
2026-09-07T14:00,MTR-001,electricity,0.82
2026-09-07T14:00,MTR-002,water,5.66
2026-09-07T15:00,MTR-001,electricity,0.54
2026-09-07T15:00,MTR-002,water,5.18
2026-09-07T16:00,MTR-001,electricity,0.1
2026-09-07T16:00,MTR-002,water,6.27
2026-09-07T17:00,MTR-001,electricity,0.31
2026-09-07T17:00,MTR-002,water,8.05
2026-09-07T18:00,MTR-001,electricity,1.75
2026-09-07T18:00,MTR-002,water,5.54
2026-09-07T19:00,MTR-001,electricity,1.78
2026-09-07T19:00,MTR-002,water,11.8
2026-09-07T20:00,MTR-001,electricity,1.64
2026-09-07T20:00,MTR-002,water,12.65
2026-09-07T21:00,MTR-001,electricity,1.67
2026-09-07T21:00,MTR-002,water,13.98
2026-09-07T22:00,MTR-001,electricity,1.75
2026-09-07T22:00,MTR-002,water,7.42
2026-09-07T23:00,MTR-001,electricity,0.55
2026-09-07T23:00,MTR-002,water,7.57
2026-09-08T00:00,MTR-001,electricity,0.36
2026-09-08T00:00,MTR-002,water,6.14
2026-09-08T01:00,MTR-001,electricity,0.38
2026-09-08T01:00,MTR-002,water,7.6
2026-09-08T02:00,MTR-001,electricity,0.41
2026-09-08T02:00,MTR-002,water,9.8
2026-09-08T03:00,MTR-001,electricity,0.33
2026-09-08T03:00,MTR-002,water,5.68
2026-09-08T04:00,MTR-001,electricity,0.57
2026-09-08T04:00,MTR-002,water,8.71
2026-09-08T05:00,MTR-001,electricity,0.53
2026-09-08T05:00,MTR-002,water,8.0
2026-09-08T06:00,MTR-001,electricity,0.66
2026-09-08T06:00,MTR-002,water,14.89
2026-09-08T07:00,MTR-001,electricity,1.04
2026-09-08T07:00,MTR-002,water,14.36
2026-09-08T08:00,MTR-001,electricity,1.39
2026-09-08T08:00,MTR-002,water,13.27
2026-09-08T09:00,MTR-001,electricity,1.26
2026-09-08T09:00,MTR-002,water,15.3
2026-09-08T10:00,MTR-001,electricity,0.4
2026-09-08T10:00,MTR-002,water,7.87
2026-09-08T11:00,MTR-001,electricity,0.54
2026-09-08T11:00,MTR-002,water,9.79
2026-09-08T12:00,MTR-001,electricity,0.79
2026-09-08T12:00,MTR-002,water,6.27
2026-09-08T13:00,MTR-001,electricity,0.62
2026-09-08T13:00,MTR-002,water,6.0
2026-09-08T14:00,MTR-001,electricity,0.84
2026-09-08T14:00,MTR-002,water,6.32
2026-09-08T15:00,MTR-001,electricity,0.44
2026-09-08T15:00,MTR-002,water,7.9
2026-09-08T16:00,MTR-001,electricity,0.34
2026-09-08T16:00,MTR-002,water,6.65
2026-09-08T17:00,MTR-001,electricity,0.17
2026-09-08T17:00,MTR-002,water,5.7
2026-09-08T18:00,MTR-001,electricity,1.56
2026-09-08T18:00,MTR-002,water,7.5
2026-09-08T19:00,MTR-001,electricity,1.83
2026-09-08T19:00,MTR-002,water,12.98
2026-09-08T20:00,MTR-001,electricity,1.69
2026-09-08T20:00,MTR-002,water,13.2
2026-09-08T21:00,MTR-001,electricity,1.81
2026-09-08T21:00,MTR-002,water,14.07
2026-09-08T22:00,MTR-001,electricity,1.69
2026-09-08T22:00,MTR-002,water,5.79
2026-09-08T23:00,MTR-001,electricity,0.59
2026-09-08T23:00,MTR-002,water,7.46
2026-09-09T00:00,MTR-001,electricity,0.63
2026-09-09T00:00,MTR-002,water,6.96
2026-09-09T01:00,MTR-001,electricity,0.74
2026-09-09T01:00,MTR-002,water,6.57
2026-09-09T02:00,MTR-001,electricity,0.69
2026-09-09T02:00,MTR-002,water,7.14
2026-09-09T03:00,MTR-001,electricity,0.37
2026-09-09T03:00,MTR-002,water,5.65
2026-09-09T04:00,MTR-001,electricity,0.43
2026-09-09T04:00,MTR-002,water,8.71
2026-09-09T05:00,MTR-001,electricity,0.57
2026-09-09T05:00,MTR-002,water,7.83
2026-09-09T06:00,MTR-001,electricity,0.1
2026-09-09T06:00,MTR-002,water,15.85
2026-09-09T07:00,MTR-001,electricity,1.33
2026-09-09T07:00,MTR-002,water,14.34
2026-09-09T08:00,MTR-001,electricity,1.16
2026-09-09T08:00,MTR-002,water,15.0
2026-09-09T09:00,MTR-001,electricity,1.51
2026-09-09T09:00,MTR-002,water,13.73
2026-09-09T10:00,MTR-001,electricity,0.39
2026-09-09T10:00,MTR-002,water,8.63
2026-09-09T11:00,MTR-001,electricity,0.38
2026-09-09T11:00,MTR-002,water,6.56
2026-09-09T12:00,MTR-001,electricity,0.71
2026-09-09T12:00,MTR-002,water,5.51
2026-09-09T13:00,MTR-001,electricity,0.73
2026-09-09T13:00,MTR-002,water,5.55
2026-09-09T14:00,MTR-001,electricity,0.83
2026-09-09T14:00,MTR-002,water,7.0
2026-09-09T15:00,MTR-001,electricity,0.79
2026-09-09T15:00,MTR-002,water,7.34
2026-09-09T16:00,MTR-001,electricity,0.65
2026-09-09T16:00,MTR-002,water,5.44
2026-09-09T17:00,MTR-001,electricity,0.43
2026-09-09T17:00,MTR-002,water,7.39
2026-09-09T18:00,MTR-001,electricity,1.91
2026-09-09T18:00,MTR-002,water,4.98
2026-09-09T19:00,MTR-001,electricity,1.8
2026-09-09T19:00,MTR-002,water,13.71
2026-09-09T20:00,MTR-001,electricity,1.88
2026-09-09T20:00,MTR-002,water,13.85
2026-09-09T21:00,MTR-001,electricity,1.66
2026-09-09T21:00,MTR-002,water,12.37
2026-09-09T22:00,MTR-001,electricity,1.46
2026-09-09T22:00,MTR-002,water,7.23
2026-09-09T23:00,MTR-001,electricity,0.42
2026-09-09T23:00,MTR-002,water,9.42
2026-09-10T00:00,MTR-001,electricity,0.36
2026-09-10T00:00,MTR-002,water,7.38
2026-09-10T01:00,MTR-001,electricity,0.21
2026-09-10T01:00,MTR-002,water,6.53
2026-09-10T02:00,MTR-001,electricity,0.49
2026-09-10T02:00,MTR-002,water,7.99
2026-09-10T03:00,MTR-001,electricity,0.67
2026-09-10T03:00,MTR-002,water,6.95
2026-09-10T04:00,MTR-001,electricity,0.28
2026-09-10T04:00,MTR-002,water,7.55
2026-09-10T05:00,MTR-001,electricity,0.53
2026-09-10T05:00,MTR-002,water,7.59
2026-09-10T06:00,MTR-001,electricity,0.34
2026-09-10T06:00,MTR-002,water,16.36
2026-09-10T07:00,MTR-001,electricity,1.26
